"","PlotNumber","ProjectID","Date","SiteSurveyor","Longitude","Latitude","Elevation","Species","Functional_group","Cover"
"1","00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8200364,49.12286895,1455,"ABIELAS","tree",10
"2","00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8200364,49.12286895,1455,"ABIEAMA","tree",120
"3","00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8200364,49.12286895,1455,"TSUGHET","tree",20
"4","00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8200364,49.12286895,1455,"MENZFER","shrub",2
"5","00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8200364,49.12286895,1455,"PICEENG","tree",0.100000001
"6","00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8200364,49.12286895,1455,"RUBUPED","herb",5
"7","00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8200364,49.12286895,1455,"PAXIMYR","shrub",2
"8","00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8200364,49.12286895,1455,"CORNCAN","herb",3
"9","00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8200364,49.12286895,1455,"TIARTRI","herb",0.100000001
"10","00NCe73","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8200364,49.12286895,1455,"VACCMEM","shrub",1
"11","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"OSMOBER","herb",5
"12","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"ABIEAMA","tree",3
"13","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"SPIRLUC","shrub",8
"14","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"ANAPMAR","herb",20
"15","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"LUPIARC","herb",5
"16","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"FRAGVIR","herb",2
"17","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"THALOCC","herb",1
"18","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"ALNUALN","tree",2
"19","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"RUBUPAR","shrub",4
"20","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"VALESIT","herb",8
"21","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"RIBELAC","shrub",5
"22","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"ARNILAT","herb",0.100000001
"23","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"CLINUNI","herb",1
"24","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"ABIELAS","tree",22
"25","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"POPUTRE","tree",10
"26","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"PAXIMYR","shrub",8
"27","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"VACCSCO","shrub",5
"28","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"PINUCON","tree",1
"29","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"CHAMANG","herb",50
"30","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"RHODALB","shrub",3
"31","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"RIBEACE","shrub",1
"32","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"LONIUTA","shrub",1
"33","00NCe74","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8160951,49.12958668,1620,"VACCMEM","shrub",18
"34","00NCe75","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8212604,49.13184343,1750,"SORBSIT","shrub",0.100000001
"35","00NCe75","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8212604,49.13184343,1750,"PICEENG","tree",0.100000001
"36","00NCe75","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8212604,49.13184343,1750,"VALESIT","herb",6
"37","00NCe75","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8212604,49.13184343,1750,"ABIELAS","tree",49
"38","00NCe75","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8212604,49.13184343,1750,"RIBEACE","shrub",0.100000001
"39","00NCe75","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8212604,49.13184343,1750,"VACCMEM","shrub",12
"40","00NCe75","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8212604,49.13184343,1750,"PAXIMYR","shrub",4
"41","00NCe75","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8212604,49.13184343,1750,"RHODALB","shrub",18
"42","00NCe75","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8212604,49.13184343,1750,"VACCSCO","shrub",12
"43","00NCe75","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8212604,49.13184343,1750,"LUPIARC","herb",25
"44","00NCe75","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8212604,49.13184343,1750,"CHAMANG","herb",2
"45","00NCe75","NCBG_ESSFplots",2000-10-01,"jpstamp",-120.8212604,49.13184343,1750,"RUBUPED","herb",3
"46","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"ORTHSEC","herb",0.100000001
"47","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"CLINUNI","herb",4
"48","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"FRAGVIR","herb",5
"49","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"RIBELAC","shrub",1
"50","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"GOODOBL","herb",0.100000001
"51","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"SPIRLUC","shrub",15
"52","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"VACCSCO","shrub",10
"53","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"ABIELAS","tree",19
"54","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"RIBEACE","shrub",5
"55","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"PICEENG","tree",3.099999905
"56","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"ANAPMAR","herb",4
"57","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"AMELALN","shrub",15
"58","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"MAHONER","shrub",0.100000001
"59","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"PINUCON","tree",21
"60","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"PSEUMEN","tree",5.100000001
"61","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"LUPIARC","herb",20
"62","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"PAXIMYR","shrub",35
"63","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"VACCMEM","shrub",30
"64","00NCe77","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.905716,49.06956013,1470,"CHIMUMB","shrub",2
"65","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"ORTHSEC","herb",5
"66","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"OSMOBER","herb",0.100000001
"67","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"VALESIT","herb",5
"68","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"VERAVIR","herb",0.100000001
"69","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"RIBEACE","shrub",20
"70","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"ABIELAS","tree",37
"71","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"FRAGVIR","herb",1
"72","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"THALOCC","herb",0.100000001
"73","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"LONIUTA","shrub",2
"74","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"ARNILAT","herb",2
"75","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"PICEENG","tree",0.100000001
"76","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"PAXIMYR","shrub",1
"77","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"LUPIARC","herb",2
"78","00NCe78","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9258513,49.08614425,1840,"HERAMAX","herb",3
"79","00NCe79","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9446303,49.08811762,1790,"ORTHSEC","herb",7
"80","00NCe79","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9446303,49.08811762,1790,"VACCSCO","shrub",1
"81","00NCe79","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9446303,49.08811762,1790,"VACCMEM","shrub",45
"82","00NCe79","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9446303,49.08811762,1790,"FRAGVIR","herb",3
"83","00NCe79","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9446303,49.08811762,1790,"TIARTRI","herb",5
"84","00NCe79","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9446303,49.08811762,1790,"PICEENG","tree",0.100000001
"85","00NCe79","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9446303,49.08811762,1790,"RIBEACE","shrub",8
"86","00NCe79","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9446303,49.08811762,1790,"PECTBRE","herb",8
"87","00NCe79","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9446303,49.08811762,1790,"VALESIT","herb",15
"88","00NCe79","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9446303,49.08811762,1790,"ABIELAS","tree",41
"89","00NCe79","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9446303,49.08811762,1790,"PEDIBRA","herb",0.100000001
"90","00NCe79","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9446303,49.08811762,1790,"PSEUMEN","tree",2
"91","00NCe79","NCBG_ESSFplots",2000-10-02,"jpstamp",-120.9446303,49.08811762,1790,"PEDIRAC","herb",0.100000001
"92","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"HERAMAX","herb",2
"93","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"ABIELAS","tree",1.100000001
"94","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"PECTBRE","herb",3
"95","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"VALESIT","herb",5
"96","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"LUPIARC","herb",5
"97","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"VACCMEM","shrub",15
"98","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"VACCDEL","shrub",15
"99","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"VACCSCO","shrub",8
"100","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"RHODALB","shrub",15
"101","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"ARNILAT","herb",1
"102","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"VERAVIR","herb",1
"103","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"PICEENG","tree",1.100000001
"104","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"FRAGVIR","herb",1
"105","00NCe82","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9646257,49.04462405,1810,"RIBEACE","shrub",2
"106","00NCe83","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9723988,49.0409285,1800,"AQUIFOR","herb",0.100000001
"107","00NCe83","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9723988,49.0409285,1800,"VERAVIR","herb",5
"108","00NCe83","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9723988,49.0409285,1800,"VALESIT","herb",20
"109","00NCe83","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9723988,49.0409285,1800,"HERAMAX","herb",8
"110","00NCe83","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9723988,49.0409285,1800,"LUPIARC","herb",15
"111","00NCe83","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9723988,49.0409285,1800,"ANGEARG","herb",3
"112","00NCe84","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9724193,49.04042506,685,"ABIELAS","tree",7
"113","00NCe84","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9724193,49.04042506,685,"ANGEARG","herb",0.100000001
"114","00NCe84","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9724193,49.04042506,685,"LEPTPYR","herb",25
"115","00NCe84","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9724193,49.04042506,685,"VACCDEL","shrub",3
"116","00NCe84","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9724193,49.04042506,685,"TROLALB","herb",2
"117","00NCe84","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9724193,49.04042506,685,"VERAVIR","herb",0.100000001
"118","00NCe84","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9724193,49.04042506,685,"PECTBRE","herb",8
"119","00NCe84","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9724193,49.04042506,685,"SYMPFOL","herb",25
"120","00NCe84","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9724193,49.04042506,685,"VALESIT","herb",10
"121","00NCe85","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9645592,49.03686803,1705,"PEDIBRA","herb",1
"122","00NCe85","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9645592,49.03686803,1705,"HERAMAX","herb",15
"123","00NCe85","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9645592,49.03686803,1705,"VERAVIR","herb",15
"124","00NCe85","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9645592,49.03686803,1705,"PECTBRE","herb",15
"125","00NCe85","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9645592,49.03686803,1705,"RIBEACE","shrub",4
"126","00NCe85","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9645592,49.03686803,1705,"ANGEARG","herb",1
"127","00NCe85","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9645592,49.03686803,1705,"POLYLOC","herb",4
"128","00NCe85","NCBG_ESSFplots",2000-10-04,"jpstamp",-120.9645592,49.03686803,1705,"LUPIARC","herb",4
