"","PlotNumber","ProjectID","Elevation","Year","SiteSurveyor","Species","Cover","present"
"1","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","ABIEAMA",120,1
"2","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","ABIELAS",10,1
"3","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","AMELALN",0,0
"4","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","ARNILAT",0,0
"5","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","CHAMANG",0,0
"6","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","CHIMUMB",0,0
"7","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","CLINUNI",0,0
"8","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","CORNCAN",3,1
"9","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","GOODOBL",0,0
"10","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","HERAMAX",0,0
"11","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","LINNBOR",0,0
"12","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","LONIUTA",0,0
"13","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","LUPIARC",0,0
"14","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","ORTHSEC",0,0
"15","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","PAXIMYR",2,1
"16","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","PHLODIF",0,0
"17","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","PICEENE",0.100000001,1
"18","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","PINUCON",0,0
"19","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","PSEUMEN",0,0
"20","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","PYROASA",0,0
"21","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","RHODALB",0,0
"22","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","RIBEACE",0,0
"23","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","RIBELAC",0,0
"24","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","RUBUPAR",0,0
"25","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","RUBUPED",5,1
"26","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","SORBSCO",0,0
"27","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","SORBSIT",0,0
"28","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","SPIRLUC",0,0
"29","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","THALOCC",0,0
"30","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","THUJPLI",0,0
"31","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","TIARTRI",0.100000001,1
"32","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","TSUGHET",20,1
"33","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","VACCMEM",1,1
"34","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","VACCSCO",0,0
"35","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","VALESIT",0,0
"36","00NCe73","NCBG_ESSFplots",1455,2000,"jpstamp","VERAVIR",0,0
"37","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","ABIEAMA",3,1
"38","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","ABIELAS",22,1
"39","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","AMELALN",0,0
"40","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","ARNILAT",0.100000001,1
"41","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","CHAMANG",50,1
"42","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","CHIMUMB",0,0
"43","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","CLINUNI",1,1
"44","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","CORNCAN",0,0
"45","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","GOODOBL",0,0
"46","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","HERAMAX",0,0
"47","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","LINNBOR",0,0
"48","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","LONIUTA",1,1
"49","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","LUPIARC",5,1
"50","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","ORTHSEC",0,0
"51","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","PAXIMYR",8,1
"52","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","PHLODIF",0,0
"53","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","PICEENE",0,0
"54","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","PINUCON",1,1
"55","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","PSEUMEN",0,0
"56","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","PYROASA",0,0
"57","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","RHODALB",3,1
"58","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","RIBEACE",1,1
"59","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","RIBELAC",5,1
"60","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","RUBUPAR",4,1
"61","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","RUBUPED",0,0
"62","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","SORBSCO",0,0
"63","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","SORBSIT",0,0
"64","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","SPIRLUC",8,1
"65","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","THALOCC",1,1
"66","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","THUJPLI",0,0
"67","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","TIARTRI",0,0
"68","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","TSUGHET",0,0
"69","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","VACCMEM",18,1
"70","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","VACCSCO",5,1
"71","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","VALESIT",8,1
"72","00NCe74","NCBG_ESSFplots",1620,2000,"jpstamp","VERAVIR",0,0
"73","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","ABIEAMA",0,0
"74","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","ABIELAS",49,1
"75","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","AMELALN",0,0
"76","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","ARNILAT",0,0
"77","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","CHAMANG",2,1
"78","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","CHIMUMB",0,0
"79","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","CLINUNI",0,0
"80","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","CORNCAN",0,0
"81","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","GOODOBL",0,0
"82","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","HERAMAX",0,0
"83","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","LINNBOR",0,0
"84","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","LONIUTA",0,0
"85","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","LUPIARC",25,1
"86","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","ORTHSEC",0,0
"87","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","PAXIMYR",4,1
"88","00NCe75","NCBG_ESSFplots",1750,2000,"jpstamp","PHLODIF",0,0
