"","PlotNumber","ProjectID","Latitude","Longitude","Elevation","Year","SiteSurveyor","Species","Cover","present","Functional_group","YearsSinceStart","RelocationConfidence"
"1","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","ABIEAMA",120,1,"tree",24,NA
"2","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","ABIELAS",10,1,"tree",24,NA
"3","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","AMELALN",0,0,"shrub",24,NA
"4","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","ARNILAT",0,0,"herb",24,NA
"5","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","CHAMANG",0,0,"herb",24,NA
"6","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","CHIMUMB",0,0,"shrub",24,NA
"7","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","CLINUNI",0,0,"herb",24,NA
"8","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","CORNCAN",3,1,"herb",24,NA
"9","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","GOODOBL",0,0,"herb",24,NA
"10","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","LONIUTA",0,0,"shrub",24,NA
"11","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","LUPIARC",0,0,"herb",24,NA
"12","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","ORTHSEC",0,0,"herb",24,NA
"13","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","PAXIMYR",2,1,"shrub",24,NA
"14","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","PICEENG",0.100000001,1,"tree",24,NA
"15","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","PINUCON",0,0,"tree",24,NA
"16","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","PSEUMEN",0,0,"tree",24,NA
"17","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","PYROASA",0,0,"herb",24,NA
"18","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","RHODALB",0,0,"shrub",24,NA
"19","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","RIBEACE",0,0,"shrub",24,NA
"20","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","RIBELAC",0,0,"shrub",24,NA
"21","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","RUBUPAR",0,0,"shrub",24,NA
"22","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","RUBUPED",5,1,"herb",24,NA
"23","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","SORBSCO",0,0,"shrub",24,NA
"24","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","SORBSIT",0,0,"shrub",24,NA
"25","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","SPIRLUC",0,0,"shrub",24,NA
"26","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","TIARTRI",0.100000001,1,"herb",24,NA
"27","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","TSUGHET",20,1,"tree",24,NA
"28","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","VACCMEM",1,1,"shrub",24,NA
"29","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","VACCSCO",0,0,"shrub",24,NA
"30","00NCe73","NCBG_ESSFplots",49.12286895,-120.8200364,1455,2000,"jpstamp","VALESIT",0,0,"herb",24,NA
"31","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","ABIEAMA",3,1,"tree",24,NA
"32","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","ABIELAS",22,1,"tree",24,NA
"33","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","AMELALN",0,0,"shrub",24,NA
"34","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","ARNILAT",0.100000001,1,"herb",24,NA
"35","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","CHAMANG",50,1,"herb",24,NA
"36","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","CHIMUMB",0,0,"shrub",24,NA
"37","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","CLINUNI",1,1,"herb",24,NA
"38","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","CORNCAN",0,0,"herb",24,NA
"39","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","GOODOBL",0,0,"herb",24,NA
"40","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","LONIUTA",1,1,"shrub",24,NA
"41","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","LUPIARC",5,1,"herb",24,NA
"42","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","ORTHSEC",0,0,"herb",24,NA
"43","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","PAXIMYR",8,1,"shrub",24,NA
"44","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","PICEENG",0,0,"tree",24,NA
"45","00NCe74","NCBG_ESSFplots",49.12958668,-120.8160951,1620,2000,"jpstamp","PINUCON",1,1,"tree",24,NA
